Row,Anon Student Id,Age,Problem Hierarchy,question_id,Step Start Time,Step End Time,Correct First Attempt,Step Duration (sec),Answer Type,KC(Default),skill_id,Opportunity (Default),template_id
6,6,16+,1,4,15-07-2023 15:10,15-07-2023 15:17,0,420,Image Choice,Algebra,1,1,3
7,7,16+,1,4,15-07-2023 15:40,15-07-2023 15:40,0,6,Image Choice,Algebra,1,1,3
9,9,16+,1,4,15-07-2023 17:36,15-07-2023 17:39,1,180,Image Choice,Algebra,1,1,3
10,10,16+,1,4,15-07-2023 21:24,15-07-2023 21:25,1,15,Image Choice,Algebra,1,1,3
14,14,16+,1,4,17-07-2023 22:20,17-07-2023 22:24,0,180,Image Choice,Algebra,1,1,3
25,25,16+,1,4,23-07-2023 12:20,23-07-2023 12:26,1,360,Image Choice,Algebra,1,1,3
6,6,16+,1,2,15-07-2023 15:02,15-07-2023 15:03,1,60,Mark the Words,Ratio and Proportion,6,1,4
7,7,16+,1,2,15-07-2023 15:39,15-07-2023 15:39,0,4,Mark the Words,Ratio and Proportion,6,1,4
9,9,16+,1,2,15-07-2023 17:35,15-07-2023 17:35,1,1,Mark the Words,Ratio and Proportion,6,1,4
10,10,16+,1,2,15-07-2023 19:59,15-07-2023 20:00,0,60,Mark the Words,Ratio and Proportion,6,1,4
14,14,16+,1,2,17-07-2023 22:17,17-07-2023 22:18,1,26,Mark the Words,Ratio and Proportion,6,1,4
25,25,16+,1,2,23-07-2023 12:15,23-07-2023 12:16,0,47,Mark the Words,Ratio and Proportion,6,1,4
6,6,16+,1,6,15-07-2023 15:18,15-07-2023 15:21,0,120,Multiple Choice,Algebra,1,1,5
7,7,16+,1,6,15-07-2023 15:41,15-07-2023 15:41,1,3,Multiple Choice,Algebra,1,1,5
9,9,16+,1,6,15-07-2023 17:43,15-07-2023 17:44,1,34,Multiple Choice,Algebra,1,1,5
10,10,16+,1,6,15-07-2023 20:56,15-07-2023 20:58,1,60,Multiple Choice,Algebra,1,1,5
14,14,16+,1,6,17-07-2023 22:26,17-07-2023 22:27,0,45,Multiple Choice,Algebra,1,1,5
25,25,16+,1,6,23-07-2023 12:30,23-07-2023 12:32,0,120,Multiple Choice,Algebra,1,1,5
6,6,16+,1,6,15-07-2023 15:18,15-07-2023 15:21,0,120,Multiple Choice,Fractions,2,1,5
7,7,16+,1,6,15-07-2023 15:41,15-07-2023 15:41,1,3,Multiple Choice,Fractions,2,1,5
